capital_policy_1,dailyReturn_policy_1,reward_policy_1,strategyVolatility_policy_1,risk_policy_1,risk_wocbf_policy_1,capital_wocbf_policy_1,dailySR_policy_1,dailySR_wocbf_policy_1,riskAccepted_policy_1,ctrlWeight_policy_1,solvable_flag_policy_1,risk_pred_policy_1,final_action_abssum_policy_1,rl_action_abssum_policy_1,cbf_action_abssum_policy_1,downsideAtVol_risk_policy_1,downsideAtValue_risk_policy_1,cvar_policy_1,cvar_raw_policy_1,capital_policy_best,dailyReturn_policy_best,reward_policy_best,strategyVolatility_policy_best,risk_policy_best,risk_wocbf_policy_best,capital_wocbf_policy_best,dailySR_policy_best,dailySR_wocbf_policy_best,riskAccepted_policy_best,ctrlWeight_policy_best,solvable_flag_policy_best,risk_pred_policy_best,final_action_abssum_policy_best,rl_action_abssum_policy_best,cbf_action_abssum_policy_best,downsideAtVol_risk_policy_best,downsideAtValue_risk_policy_best,cvar_policy_best,cvar_raw_policy_best
1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1009842.7308301068,0.0098427308301066,10.3397760576297,0.1104843795494884,0.0138917713103487,0.0138917713103487,1009842.730850366,48.906434450389824,48.90643472094622,0.017,1.0,0.0,0.0,1.0000000330619514,0.9999999534338712,0,0.0781242539946316,0.0098427308301065,0.0184515993497846,0.0184515993497846,1011139.7671264316,0.0111397671264314,11.444545812786494,0.1250435758666613,0.0126652739529844,0.0126652739529844,1011139.7671264316,76.05956676126644,76.05956676126644,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0884191604391307,0.0111397671264314,0.0145162449821499,0.0145162449821499
1004124.108112618,-0.0056628844699291,-5.440963394788028,0.1245536514717608,0.013690996668573,0.013690996668573,1004124.1081500712,-3.57751721512,-3.5775172103422737,0.017,1.0,0.0,0.0,1.000000027474016,0.9999999357387424,0,0.0807345711172094,0.0041241081126179,0.0342033771937397,0.0342033771937397,1003942.8536703628,-0.0071176247735974,-7.045806822612882,0.146081035140376,0.0118269442471698,0.0118269442471698,1003942.8536703628,-4.5342167340857,-4.5342167340857,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0961299506090886,0.0039428536703629,0.031316992260264,0.031316992260264
973059.8488720206,-0.0309366730562686,-31.21303089411054,0.2760283430566706,0.0167567889084674,0.0167567906813234,973059.8457294776,-3.820260257540289,-3.820259854485188,0.017,1.0,0.0,0.0,0.9999999422580004,0.9999999422580004,0,0.222231700215077,-0.0269401511279794,0.064787667703087,0.0647876744685413,974818.039472657,-0.0290104303160553,-29.347705377139345,0.2688150663493776,0.0171538306288637,0.0171538306288637,974818.039472657,-3.730969348569853,-3.730969348569853,0.017,1.0,0.0,0.0,1.0000000298023224,1.0000000298023224,0,0.2087821374755847,-0.025181960527343,0.0647306657935355,0.0647306657935355
976082.358516655,0.0031061908968273,3.3875674681589687,0.2489570349115235,0.0162070434308348,0.0162070434308348,976082.3553643508,4.540888163935197,4.540888163935197,0.017,1.0,0.0,0.0,1.0000000027939675,1.0000000027939675,0,0.2081397230066582,-0.0239176414833449,0.0301104554780671,0.0301104554780671,975428.850742631,0.0006265900355151,0.8953691344513891,0.2378600750373632,0.0184304121955316,0.0184304121955316,975428.850742631,0.5277882898132129,0.5277882898132129,0.017,1.0,0.0,0.0,1.0,1.0,0,0.1924172288816282,-0.024571149257369,0.0367789359808308,0.0367789359808308
976537.537011874,0.000466332058199,0.6598281538877298,0.2252061679851482,0.0169668702765201,0.0169668702765201,976537.5338370868,0.4013260891968617,0.4013260665547167,0.017,1.0,0.0,0.0,0.9999999720603228,0.9999999720603228,0,0.1926203507034539,-0.023462462988126,0.0343508713842657,0.0343508713842657,973165.6418865168,-0.0023202193111173,-2.099165301461388,0.2133904674277164,0.0184226957568792,0.0184226957568792,973165.6418865168,-1.571810139484276,-1.571810139484276,0.017,1.0,0.0,0.0,1.0,1.0,0,0.1754108117614144,-0.0268343581134831,0.0396822220440227,0.0396822220440227
983202.7108229696,0.0068253124518804,6.905409261380025,0.2153562114310466,0.0164154785559924,0.0164154785559924,983202.7076218716,17.40412329324528,17.404123267897,0.017,1.0,0.0,0.0,1.0000000270083549,1.0000001341104507,0,0.1865961446743965,-0.0167972891770302,0.0266739296942609,0.0266739296942609,978988.1969114356,0.0059831078845236,6.151748502909073,0.2046034458403405,0.0195218127520868,0.0195218127520868,978988.1969114356,11.228510108716634,11.228510108716634,0.017,1.0,0.0,0.0,1.0000000298023224,1.0000000298023224,0,0.1709851875786554,-0.0210118030885643,0.034222903896945,0.034222903896945
981594.9892798074,-0.0016351882734502,-1.419134501575542,0.1994200131202647,0.0186047284269826,0.0186047284269826,981594.9860765374,-1.2003712116721434,-1.2003712159344928,0.017,1.0,0.0,0.0,1.000000063329935,1.000000063329935,0,0.1733387124424674,-0.0184050107201925,0.0401321749649377,0.0401321749649377,976337.031363916,-0.0027080669163159,-2.645827559073616,0.1894311338048846,0.0155980164096297,0.0155980164096297,976337.031363916,-2.0663742947767108,-2.0663742947767108,0.017,1.0,0.0,0.0,0.9999999701976776,0.9999999701976776,0,0.1585153816948484,-0.0236629686360839,0.0351135967508677,0.0351135967508677
989345.7364673476,0.0078960745237981,8.133676401589499,0.194111526582651,0.0061730759683607,0.0061730767285121,989345.7342085916,63.68353846926879,63.68354892117597,0.017,1.0,0.0,0.0,0.9999999655410649,1.0,0,0.1692885189547915,-0.0106542635326524,0.0039848662321162,0.0039848667521441,985475.6535411,0.0093601101705806,9.318073643741403,0.188746116759927,0.0044428572499829,0.0044428572499829,985475.653537796,133.9282148206283,133.92821469529338,0.017,1.0,0.0,0.0,1.0000000596046448,1.0000000596046448,0,0.1573756320503481,-0.0145243464589001,-0.0002509406455435,-0.0002509406455435
980358.7351279884,-0.0090837823503935,-8.867674747872252,0.1873235711938354,0.008150491674925,0.008150491674925,980358.73289523,-7.081756529785072,-7.081756528693167,0.017,1.0,0.0,0.0,1.000000009778887,1.000000009778887,0,0.1593999544540734,-0.0196412648720115,0.0259603577553177,0.0259603577553177,978833.6371180912,-0.0067399091993212,-6.697925684887653,0.1798407880530049,0.0066302299487228,0.0066302294828595,978833.637584144,-7.930122275249014,-7.930122623605395,0.017,1.0,0.0,0.0,1.0,1.0000000707805157,0,0.1471087789542937,-0.0211663628819088,0.0200916808453943,0.0200916794364507
