capital_policy_1,dailyReturn_policy_1,reward_policy_1,strategyVolatility_policy_1,risk_policy_1,risk_wocbf_policy_1,capital_wocbf_policy_1,dailySR_policy_1,dailySR_wocbf_policy_1,riskAccepted_policy_1,ctrlWeight_policy_1,solvable_flag_policy_1,risk_pred_policy_1,final_action_abssum_policy_1,rl_action_abssum_policy_1,cbf_action_abssum_policy_1,downsideAtVol_risk_policy_1,downsideAtValue_risk_policy_1,cvar_policy_1,cvar_raw_policy_1,capital_policy_best,dailyReturn_policy_best,reward_policy_best,strategyVolatility_policy_best,risk_policy_best,risk_wocbf_policy_best,capital_wocbf_policy_best,dailySR_policy_best,dailySR_wocbf_policy_best,riskAccepted_policy_best,ctrlWeight_policy_best,solvable_flag_policy_best,risk_pred_policy_best,final_action_abssum_policy_best,rl_action_abssum_policy_best,cbf_action_abssum_policy_best,downsideAtVol_risk_policy_best,downsideAtValue_risk_policy_best,cvar_policy_best,cvar_raw_policy_best,capital_policy_last,dailyReturn_policy_last,reward_policy_last,strategyVolatility_policy_last,risk_policy_last,risk_wocbf_policy_last,capital_wocbf_policy_last,dailySR_policy_last,dailySR_wocbf_policy_last,riskAccepted_policy_last,ctrlWeight_policy_last,solvable_flag_policy_last,risk_pred_policy_last,final_action_abssum_policy_last,rl_action_abssum_policy_last,cbf_action_abssum_policy_last,downsideAtVol_risk_policy_last,downsideAtValue_risk_policy_last,cvar_policy_last,cvar_raw_policy_last
1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1013900.7521424406,0.0139007521424406,14.292995980322608,0.1560355558064302,0.010244862484029,0.0121480965904071,1011770.0063526288,193.1128033776048,93.67614230126198,0.017,1.0,0.0,0.0,0.9999999823048712,1.0,0.0,0.1103337996169387,0.0139007521424405,0.0067365798136197,0.0129844059827088,1011911.3231502456,0.0119113231502457,12.143596223094008,0.1337042707541049,0.0121614599396307,0.0121480965904071,1011540.2992596622,97.11379259177288,88.17336472203834,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.0945431965238297,0.0119113231502456,0.0126237755623072,0.0129844059827088,1012129.84999568,0.012129849995680037,12.359675643087227,0.1361572285103882,0.01216145993963072,0.01214809659040713,1011771.24225466,102.8390946130619,93.70660543945725,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.09627769958726183,0.01212984999568012,0.012623775562307243,0.012984405982708863
1004603.7855632312,-0.009169503582638,-9.012352560601768,0.1843935764133895,0.0117032472632874,0.0113383028767612,1006108.1485343385,-4.9435897185392585,-4.297144722987317,0.017,1.0,0.0,0.0,1.000000013737008,1.0,0.0,0.1219221682228381,0.004603785563231,0.0331335030629533,0.0289152799437567,1006223.757996442,-0.0056206161782015,-5.633596856552634,0.1421100748194896,0.0113986563336424,0.0113383028767612,1006206.0028940436,-4.282750635592936,-4.182109501113324,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.0897696690968171,0.0062237579964421,0.0293782878989074,0.0289152799437567,1006176.350570474,-0.005882149830114579,-5.8966180059841955,0.14580443608194413,0.011398656511842756,0.011338302876761255,1006139.3798390322,-4.368394507289951,-4.286955752535809,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.09240940445608926,0.006176350570473943,0.029378289414658455,0.028915279943756752
975602.7402154256,-0.0288681426096221,-29.12745137932749,0.2847152398765767,0.0170771040949423,0.0184485533891763,972833.8059680389,-3.747649160636524,-3.470465389185144,0.017,1.0,0.0,0.0,0.9999999329447746,1.0,0.0,0.2112399080812505,-0.0243972597845745,0.064038532217517,0.0710278003466225,972984.7491511534,-0.0330334168530001,-33.58600950934543,0.3020170410456563,0.0183918696602587,0.0184485533891763,972648.8960397332,-3.4811540785383195,-3.470515140044064,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.2414810202249439,-0.0270152508488465,0.0705857859440338,0.0710278003466225,973400.598445891,-0.032574560220979216,-33.11169494161266,0.2997381500696041,0.018391869389746192,0.01844855338917632,973035.1462913038,-3.4810624769535607,-3.4704331079713393,0.017,1.0,0.0,0.0,0.9999999776482582,1.0,0.0,0.23822836137784795,-0.026599401554108892,0.07058578500144594,0.07102780034662258
977298.5282138922,0.0017381951982753,1.9232597482539948,0.2526692792788113,0.017759540559625,0.0184879239745232,974020.3904031812,1.888735517403852,1.1687529329891293,0.017,1.0,0.0,0.0,0.999999960884452,1.0,0.0,0.1971234356769575,-0.0227014717861077,0.034662425320586,0.0368871456491974,974449.9375170944,0.0015058698167873,1.506314536310419,0.2679414725981066,0.0184166577408882,0.0184879239745232,974038.0204837206,1.5205162666669905,1.4182844090712954,0.017,1.0,0.0,0.0,1.000000074505806,1.0,0.0,0.2221789711426948,-0.0255500624829054,0.0366945184062529,0.0368871456491974,974461.2323336737,0.001089617049214965,1.0906203794126892,0.26523239898380285,0.018416658111361506,0.01848792397452322,974060.7894594958,1.0234487142206896,0.9795603120716319,0.017,1.0,0.0,0.0,1.0000000819563866,1.0,0.0,0.21859009999729187,-0.025538767666326234,0.03669451908651078,0.03688714564919749
983667.935582686,0.0065173610569477,6.655604983619116,0.2369656795201001,0.0179219804675261,0.0171810893424499,977263.5369969576,14.49332660902887,4.745959489012508,0.017,1.0,0.0,0.0,1.000000027474016,1.0,0.0,0.1918253618842767,-0.0163320644173141,0.0302817137779542,0.0321096931354846,977199.7798643511,0.0028219431716145,2.820875269675321,0.2450204086360485,0.0171266916816135,0.0171810893424499,977009.0969882908,3.743141160468888,4.171692960372542,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.2084222988551782,-0.0228002201356488,0.0322059512625652,0.0321096931354846,977734.2209807289,0.003358767428045184,3.355888092453846,0.24340601477708979,0.017126692059039605,0.01718108934244993,977537.0605728094,4.823424736776543,5.270541708767516,0.017,1.0,0.0,0.0,1.0000000223517418,1.0,0.0,0.20598190890682452,-0.02226577901927118,0.03220595198688226,0.032109693135484604
992437.8237012328,0.0089154965830538,9.016801351857364,0.227171169587775,0.0172578572361233,0.0164808290374714,986176.3293373588,30.465282075819623,33.77836434669946,0.017,1.0,0.0,0.0,1.000000027474016,1.0,0.0,0.1882458201467803,-0.007562176298767,0.0268091623878661,0.0250225334362912,986294.9717724668,0.0093074027394666,9.266255883874312,0.2369676925861317,0.0163853588693724,0.0164808290374714,985829.9616513368,35.78852731618063,32.92549302928965,0.017,1.0,0.0,0.0,1.0000000149011612,1.0,0.0,0.2034014484646702,-0.0137050282275331,0.02455036521695,0.0250225334362912,986866.0974418018,0.009339835166977275,9.298346666160187,0.2354638147847801,0.016385357719809597,0.01648082903747145,986388.5191987153,36.111278494304464,33.169189574188046,0.017,1.0,0.0,0.0,0.9999999850988388,1.0,0.0,0.20125269475042964,-0.01313390255819824,0.02455036126564466,0.025022533436291284
991157.8492288324,-0.0012897276200406,-1.0640298768922294,0.2103261344159714,0.0151812169878702,0.016550161934098,984926.2164301464,-1.2208062224821798,-1.1044583925297455,0.017,1.0,0.0,0.0,1.0000000530853868,1.0,0.0,0.1740144954925746,-0.0088421507711675,0.0326856656573359,0.0355440295635869,984897.2061553778,-0.0014171882216707,-1.4159463680567568,0.2194043349629273,0.0164348485777305,0.016550161934098,984751.5056109494,-1.215322309683435,-0.9806109646635984,0.017,1.0,0.0,0.0,0.999999925494194,1.0,0.0,0.1886932050041983,-0.0151027938446222,0.0356190937329699,0.0355440295635869,984768.0552162193,-0.002125964435318189,-2.1260314179030306,0.21800522739196115,0.016434849466926804,0.016550161934098015,984592.9323526468,-1.6545895452774098,-1.4644723929637797,0.017,1.0,0.0,0.0,0.9999999925494194,1.0,0.0,0.18605028310179408,-0.01523194478378076,0.03561909723579329,0.035544029563586946
1000465.343637429,0.0093905268629393,9.561251866599504,0.2043257934352477,0.0042612781796633,0.0046054754090263,993427.0052182002,140.8140374545715,105.3719589933641,0.017,1.0,0.0,0.0,0.9999999748542904,1.0,0.0,0.1710745539104808,0.0004653436374288,-0.0009302306369946,0.0006988798635549,993255.2176519278,0.0084861764703102,8.451929745168506,0.2123499839878988,0.0047876885804773,0.0046054754090263,993067.8077653468,97.28706961251204,99.9607377767931,0.017,1.0,0.0,0.0,1.0000000968575478,1.0,0.0,0.183793769116126,-0.0067447823480721,0.0010271447179619,0.0006988798635549,993267.4114077087,0.008630820370816385,8.595367561788585,0.21130854598481005,0.004787688261355381,0.0046054754090263696,993052.2813528607,101.35968106513977,104.21044022365612,0.017,1.0,0.0,0.0,1.000000074505806,1.0,0.0,0.1816187715037216,-0.006732588592291311,0.0010271444094815917,0.0006988798635549128
990652.6417385194,-0.0098081377444151,-9.607111061620314,0.1989904942463918,0.0077507415774837,0.0066228240810418,987191.0399993588,-7.584197931995091,-7.723521740079215,0.017,1.0,0.0,0.0,1.0000000237487257,1.0,0.0,0.1616369274805877,-0.0093473582614805,0.0252723896813709,0.0199958645859675,987111.0296624384,-0.0061859106101798,-6.203146098691826,0.2021105891850214,0.006914517010334,0.0066228240810418,987405.71219447,-7.354041504657581,-7.417815149397851,0.017,1.0,0.0,0.0,0.9999999403953552,1.0,0.0,0.1719499023483134,-0.0128889703375616,0.0211041930252245,0.0199958645859675,986595.667213802,-0.0067169667677419624,-6.7375998693709445,0.20152264404172177,0.006914517010334007,0.006622824081041868,986906.4666901074,-7.594404180389828,-7.679404796437272,0.017,1.0,0.0,0.0,0.9999999403953552,1.0,0.0,0.16992407379250968,-0.013404332786198014,0.021104193025224573,0.019995864585967527
