ep,trading_days,annualReturn_pct,mdd,sharpeRatio,final_capital,volatility,calmarRatio,sterlingRatio,netProfit,netProfit_pct,winRate,vol_max,vol_min,vol_avg,risk_max,risk_min,risk_avg,riskRaw_max,riskRaw_min,riskRaw_avg,dailySR_max,dailySR_min,dailySR_avg,dailySR_wocbf_max,dailySR_wocbf_min,dailySR_wocbf_avg,dailyReturn_pct_max,dailyReturn_pct_min,dailyReturn_pct_avg,sigReturn_max,sigReturn_min,mdd_high,mdd_low,mdd_high_date,mdd_low_date,sharpeRatio_wocbf,reward_sum,final_capital_wocbf,cbf_contribution,risk_downsideAtVol,risk_downsideAtVol_daily_max,risk_downsideAtVol_daily_min,risk_downsideAtVol_daily_avg,risk_downsideAtValue_daily_max,risk_downsideAtValue_daily_min,risk_downsideAtValue_daily_avg,cvar_max,cvar_min,cvar_avg,cvar_raw_max,cvar_raw_min,cvar_raw_avg,solver_solvable,solver_insolvable,cputime,systime
1,1341,0.2267022124252558,0.16480244762031293,1.35531334547721,2966327.107178151,0.1550395804235731,12.92003506961672,1.9708679433321723,1966327.1071781511,1.9663271071781512,0.5689783743475019,0.294164891493109,0.11453202578010017,0.17135653470107287,0.05192643770423832,0.0009988504686739004,0.008486395448388685,0.05194520559773422,0.0010055121715709914,0.008460436527962877,281110.0500446186,-33.012000014729786,581.6102726377213,283223.70288439776,-32.9414401087284,607.0841554302096,0.0496686980701934,-0.061990717622426486,0.0008588730566288251,64624.10882869875,-75038.0636468865,1109468.5777159457,926625.4405505304,2010-04-15,2010-07-01,1.3715181541882808,-3396.298013861233,2998020.008464943,0.0,0.1130914262407896,0.2289727641097029,0.0,0.12651849041819221,1.9839189002090665,-0.07337455944946958,0.7724878317709931,0.13759634357470474,-0.004852990141522257,0.016629390806212202,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.8125,3.821015799999998
2,1341,0.22837658148438544,0.15581607322090252,1.3671094879195904,2987936.3824536274,0.15492656832240712,13.159264423466139,1.990208100392567,1987936.3824536274,1.9879363824536274,0.5727069351230425,0.2993356553452872,0.11615040297158204,0.17128814414973642,0.051926435931874744,0.000998848337130128,0.008459105361515354,0.05194520559773422,0.0010055121715709914,0.008460436527962877,262535.68333589425,-33.742036671173146,558.4383840627098,264553.29064050864,-33.66112095755939,560.9322071034329,0.04938078141193749,-0.06233649637146589,0.0008642186242249816,65273.62937633833,-75982.31704623066,1105183.256258414,932977.9410787374,2010-04-23,2010-07-01,1.3726152373554104,-3412.7705048535017,2999342.7006619484,0.0,0.11292393604111169,0.24045244371862354,0.0,0.12626151765502355,2.0037080715224405,-0.06702205892126267,0.7841796369861066,0.1375963480074221,-0.004852985159778597,0.016582509853712533,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.15625,6.160533900000004
3,1341,0.22822128477934833,0.15556097251408785,1.3661145006949116,2985926.773013361,0.15492572889877726,13.138436146366057,1.9887582672259536,1985926.7730133608,1.9859267730133607,0.5704697986577181,0.3019893759092761,0.11671007774199749,0.17139702068963866,0.05192944980275333,0.0009978318640154764,0.008460025258348798,0.05194520559773422,0.0010055121715709914,0.008460436527962877,299933.2190898681,-33.701649948519425,607.6712573155454,301335.55932212115,-33.6821106566363,609.7514351585502,0.04993599190179391,-0.062449665185518415,0.0008637164676664743,65430.25568451313,-76086.81084427726,1104347.2962572859,932553.956858199,2010-04-23,2010-07-01,1.3719875696404655,-3412.995267026232,2997735.788342121,0.0,0.11291691296356723,0.24236213634255485,0.0,0.12636278214447105,2.0026095904828,-0.06744604314180103,0.7833160102416757,0.1375983112477419,-0.004845080777600055,0.01658449220234525,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.328125,6.328856600000002
4,1341,0.22813003643943963,0.15574900927093738,1.3657283876581299,2984746.4903523,0.15490271590693205,13.129214514056384,1.9880981894491014,1984746.4903523,1.9847464903523,0.5727069351230425,0.2981284054819782,0.11598064621361172,0.17122201552256786,0.05192944926454299,0.0009978320262461913,0.008460025243650538,0.05194520559773422,0.0010055121715709914,0.008460436527962877,308947.4600371796,-32.83128340423705,598.1742955639811,310504.37921190134,-32.82086881892205,600.2450310201597,0.0500593722282953,-0.06255715645060292,0.0008634074785748136,65669.90904891584,-76214.0370049132,1104799.3661148553,932727.9593993069,2010-04-23,2010-07-01,1.371578304832968,-3412.7756364359016,2996527.1163625615,0.0,0.1128992160532038,0.2395115361496902,0.0,0.12621036471238237,2.0010344153246744,-0.06727204060069314,0.783433256068917,0.13759831038252415,-0.004845080880243501,0.016584492174428048,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.203125,6.208289000000001
5,1341,0.22836664380630767,0.15551475336171328,1.3681445774823549,2987807.751530091,0.15480209277008164,13.174588683149977,1.9926169943118108,1987807.7515300908,1.9878077515300907,0.5689783743475019,0.30290311446337953,0.11641773860772091,0.1712478448476089,0.05192981249829757,0.0009970306257496234,0.00846077907792285,0.05194520559773422,0.0010055121715709914,0.008460436527962877,296089.602962164,-32.39113415151966,600.1388351166095,297126.78612695955,-32.43459712137405,601.7349925431411,0.04988251432843682,-0.0622192594534564,0.0008641092806466767,66366.34812249662,-75831.91651541484,1105170.846023658,933300.4744817329,2010-04-23,2010-07-01,1.374356081641689,-3412.6564781143215,3000071.8001927002,0.0,0.1127837679131037,0.24057674353255767,0.0,0.12617575821663946,2.0041242057373223,-0.06669952551826708,0.7843131116422432,0.13759742523628168,-0.004837566706482114,0.01658615065729767,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.25,6.265110000000007
6,1341,0.22808024738422494,0.1558164095936787,1.3656121520563176,2984102.6366803567,0.15487944147666205,13.125614358163407,1.9879280790361245,1984102.6366803567,1.9841026366803567,0.5704697986577181,0.29672409521321746,0.11561910861985206,0.17114469661183102,0.051929813277789894,0.000997030639006451,0.008460779093053315,0.05194520559773422,0.0010055121715709914,0.008460436527962877,301257.5356958671,-33.4252742462322,593.5555660795777,302418.12154934945,-33.458724117731045,595.2820981100255,0.04995460615288323,-0.062234679595129676,0.0008632319283356425,65702.70895714918,-75809.16422088211,1104904.2198081557,932742.011332744,2010-04-23,2010-07-01,1.3718069216358508,-3412.588514541627,2996323.1398412553,0.0,0.11288728394717605,0.23817789942289863,0.0,0.12618154907386456,2.001749372950471,-0.06725798866725596,0.7833768932579654,0.13759742164878025,-0.004837566225407847,0.016586150691435347,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.203125,6.197979799999999
7,1341,0.22829215965165295,0.15554909486827562,1.3660169719031927,2986843.7896398846,0.15498867437692201,13.139583040472848,1.9862918565086891,1986843.7896398846,1.9868437896398845,0.5719612229679344,0.3063214862852124,0.11683868354248803,0.1716161714728652,0.051931149745428506,0.0009963461492566328,0.00846145378211422,0.05194520559773422,0.0010055121715709914,0.008460436527962877,293087.76848679344,-33.63198839921462,573.4565112372266,293751.33949893794,-33.71069548632359,574.6260225296489,0.04984028393621193,-0.062331177164761706,0.0008639861362179641,64974.94524068199,-75980.32422257098,1105410.3606043146,933464.7795542993,2010-04-23,2010-07-01,1.372532841479067,-3411.203587115894,2999518.735029856,0.0,0.11308311245277895,0.24563832007394423,0.0,0.12663383417793014,2.003701443429513,-0.0665352204457007,0.7843462565468333,0.13759799988699173,-0.004830149763545129,0.016587645758673723,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.390625,6.400772700000019
8,1341,0.22814746842198885,0.1560290819082787,1.3654302028477927,2984971.9409733904,0.15494931046693222,13.125346171105202,1.9872723514939363,1984971.9409733904,1.9849719409733904,0.5712155108128263,0.29844868963209387,0.11601748291137827,0.17126749078117642,0.051931149483425365,0.000996346313183838,0.008461453788885426,0.05194520559773422,0.0010055121715709914,0.008460436527962877,296931.87382560683,-33.42969205628668,584.2934423734993,297477.47235175536,-33.50576892103727,585.3166936477328,0.04989457143971389,-0.06247559624782953,0.0008634924402606484,63621.17631699098,-76131.04125041584,1105086.2773490837,932660.6800648688,2010-04-23,2010-07-01,1.3719573465013806,-3411.598784961475,2997661.151601483,0.0,0.11295862717161124,0.23967702545776595,0.0,0.12623105080352154,2.002392203554953,-0.0673393199351312,0.7834985414859342,0.1375979967801787,-0.004830150133538349,0.016587645772978776,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.25,6.295323999999994
9,1341,0.22821196221354012,0.15591105308043351,1.3661709088851128,2985806.169737134,0.1549125082646139,13.138945214597873,1.9904769713870416,1985806.1697371341,1.985806169737134,0.5712155108128263,0.30108859069150823,0.11666835378155754,0.17149162131874673,0.05193327753810367,0.0009956456184827683,0.008462220435619007,0.05194520559773422,0.0010055121715709914,0.008460436527962877,269769.07066808,-32.341303999290126,576.1596588356635,269986.29254584527,-32.469157943312304,576.9967140888602,0.04949533190484613,-0.06200996067989048,0.0008636747371726759,65510.41192568792,-75552.19543574913,1105340.1160184315,933005.3745179493,2010-04-23,2010-07-01,1.3729773257125233,-3411.403957144603,2998814.9372558007,0.0,0.112830234423994,0.2398368442276661,0.0,0.12630233364560292,2.001540037139087,-0.06699462548205071,0.7836489766054392,0.1376014944040135,-0.004822172021552645,0.016589303051331217,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.25,6.287096200000022
10,1341,0.22818147827612356,0.15552403457965447,1.366590659495288,2985411.835671771,0.15484262006757352,13.144173048162859,1.9899541590869283,1985411.8356717709,1.985411835671771,0.5689783743475019,0.30291156392877,0.11709202653071574,0.17134075917780897,0.051933277693340274,0.0009956458744362347,0.00846222046441546,0.05194520559773422,0.0010055121715709914,0.008460436527962877,288540.857875937,-33.103566407395036,585.4750201665383,288661.8474317977,-33.20916661013938,586.0975752885739,0.04977552646999419,-0.06222636209523246,0.0008635360283011966,65650.11500581028,-75800.61707251123,1104799.2631747546,932976.4243651873,2010-04-23,2010-07-01,1.3734017528727873,-3412.0672234414837,2998427.9171308177,0.0,0.11283100277915468,0.24201810854491768,0.0,0.12630233783684142,2.001168316280792,-0.06702357563481265,0.7830636961561867,0.13760150244113956,-0.004822172788885828,0.016589303119452368,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.234375,6.23523800000001
11,1341,0.2280188997662127,0.1555767536150684,1.364546154231895,2983309.4670523773,0.1549554766692628,13.107222939875687,1.9863620373154636,1983309.4670523773,1.9833094670523772,0.56972408650261,0.3013507932737837,0.11666674627946223,0.17142209025866212,0.0519359555450971,0.0009948659318183037,0.008463041283254692,0.05194520559773422,0.0010055121715709914,0.008460436527962877,293677.4555924882,-34.01258454696807,599.6242248731069,293457.24181963183,-34.164258715908176,600.168110857516,0.04984948129196696,-0.06238563224488452,0.0008630801865565977,65647.83384425472,-75985.86408043164,1104573.8744555234,932727.856939715,2010-04-23,2010-07-01,1.3716332806479254,-3411.5612056350155,2996628.7169347242,0.0,0.11293806473136456,0.2422938102557888,0.0,0.12635198588823543,2.000834642251606,-0.06727214306028506,0.7825759757427887,0.1376060661037283,-0.004813962480893996,0.016591068041273832,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.25,6.23853219999998
12,1341,0.22812111891503428,0.15536074832969582,1.3656772803519623,2984631.1639279476,0.15490198303695482,13.128111211279572,1.9876097152739813,1984631.1639279476,1.9846311639279477,0.56972408650261,0.30259271428158535,0.11632459440838425,0.1713897778320038,0.051935955502199364,0.0009948657225799056,0.008463041266347204,0.05194520559773422,0.0010055121715709914,0.008460436527962877,302937.0878145835,-33.16993007742698,604.6714646777486,302506.46260336885,-33.31369669220688,604.9817154797726,0.049978816220054526,-0.062386386538932546,0.0008633775946543312,65649.8962253728,-75998.96593599813,1104784.5197261423,933144.3699984252,2010-04-23,2010-07-01,1.3728025321732742,-3410.8522933476534,2997980.406429233,0.0,0.11292392098554517,0.24403585155495366,0.0,0.12642546299240565,2.002016698171055,-0.0668556300015748,0.7832262102518052,0.13760606275555368,-0.004813962166913016,0.016591068032732716,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,6.234375,6.2490195999999685
