capital_policy_1,dailyReturn_policy_1,reward_policy_1,strategyVolatility_policy_1,risk_policy_1,risk_wocbf_policy_1,capital_wocbf_policy_1,dailySR_policy_1,dailySR_wocbf_policy_1,riskAccepted_policy_1,ctrlWeight_policy_1,solvable_flag_policy_1,risk_pred_policy_1,final_action_abssum_policy_1,rl_action_abssum_policy_1,cbf_action_abssum_policy_1,downsideAtVol_risk_policy_1,downsideAtValue_risk_policy_1,cvar_policy_1,cvar_raw_policy_1,capital_policy_best,dailyReturn_policy_best,reward_policy_best,strategyVolatility_policy_best,risk_policy_best,risk_wocbf_policy_best,capital_wocbf_policy_best,dailySR_policy_best,dailySR_wocbf_policy_best,riskAccepted_policy_best,ctrlWeight_policy_best,solvable_flag_policy_best,risk_pred_policy_best,final_action_abssum_policy_best,rl_action_abssum_policy_best,cbf_action_abssum_policy_best,downsideAtVol_risk_policy_best,downsideAtValue_risk_policy_best,cvar_policy_best,cvar_raw_policy_best,capital_policy_last,dailyReturn_policy_last,reward_policy_last,strategyVolatility_policy_last,risk_policy_last,risk_wocbf_policy_last,capital_wocbf_policy_last,dailySR_policy_last,dailySR_wocbf_policy_last,riskAccepted_policy_last,ctrlWeight_policy_last,solvable_flag_policy_last,risk_pred_policy_last,final_action_abssum_policy_last,rl_action_abssum_policy_last,cbf_action_abssum_policy_last,downsideAtVol_risk_policy_last,downsideAtValue_risk_policy_last,cvar_policy_last,cvar_raw_policy_last
1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1012948.5005040552,0.0129485005040552,13.403800272974404,0.1453465576759337,0.0119179240583787,0.0119179240583787,1012948.5005040552,129.86989385388708,129.86989385388708,0.017,1.0,0.0,0.0,1.0000000344589353,1.0000000344589353,0,0.1027755365547744,0.0129485005040552,0.0111827162117057,0.0111827162117057,1010834.1325395412,0.0108341325395413,11.078663447769348,0.1216128361375883,0.0122049335888043,0.0122049324699623,1010834.1315552536,72.75381597249319,72.75380350195475,0.017,1.0,0.0,0.0,1.000000037252903,1.0000000596046448,0,0.0859932611122171,0.0108341325395413,0.0138424771724385,0.0138424758708434,1010555.3521565257,0.010555352156525711,10.802775105484315,0.11848353409939404,0.012197524040866957,0.012197524040866957,1010555.3521565257,67.55719639003003,67.55719639003003,0.017,1.0,0.0,0.0,1.0,1.0,0,0.08378051042062906,0.01055535215652581,0.013820361377474624,0.013820361377474624
1004089.2571570724,-0.0087459958157542,-8.605995826308504,0.1732683055399442,0.0113494407239855,0.0113494407239855,1004089.2571570724,-5.03576677831809,-5.03576677831809,0.017,1.0,0.0,0.0,0.9999999701976776,0.9999999701976776,0,0.1149781914084021,0.0040892571570723,0.0318971650078703,0.0318971650078703,1004908.2036116124,-0.0058624147495308,-5.876628256482037,0.1344688926486559,0.0112957861813294,0.0112957861813294,1004908.2026330949,-4.401853044589516,-4.401853044589516,0.017,1.0,0.0,0.0,1.0000000298023224,1.0000000298023224,0,0.0864334798824908,0.0049082036116123,0.0295960491576283,0.0295960491576283,1004490.1005556688,-0.006001899438673639,-6.016937476342088,0.13306537915285133,0.011284967380479677,0.011284967380479677,1004490.1005556688,-4.450145913749057,-4.450145913749057,0.017,1.0,0.0,0.0,1.0000000596046448,1.0000000596046448,0,0.08611091207459888,0.004490100555668786,0.02962619480781987,0.02962619480781987
968196.2129258232,-0.0357468661031936,-36.22378180015679,0.3270344939661533,0.0199273096286611,0.0199273096286611,968196.2129269056,-3.213262043865409,-3.213262043865317,0.017,1.0,0.0,0.0,0.9999999729916452,0.9999999729916452,0,0.2554698222341276,-0.0318037870741767,0.0766074643545236,0.0766074643545236,970630.950156222,-0.0341098354379025,-34.69893987763052,0.3043837341019799,0.0185843780791098,0.0185843780791098,970630.9492175904,-3.4452689383815844,-3.445268938380673,0.017,1.0,0.0,0.0,1.0000000596046448,1.0000000596046448,0,0.2458579908083541,-0.0293690498437779,0.0724346466005986,0.0724346466005986,970070.4440050301,-0.03426579966452461,-34.860445513527296,0.30409488808852836,0.01858204516108581,0.01858204516108581,970070.4440050301,-3.445722995322408,-3.445722995322408,0.017,1.0,0.0,0.0,1.0000000596046448,1.0000000596046448,0,0.24597170194279444,-0.029929555994969936,0.07245860123658575,0.07245860123658575
970530.6095378922,0.0024110780241687,2.6423669977831725,0.2925024216712528,0.0167746356709972,0.0167746356709972,970530.6095367232,3.0721768741764133,3.072176870144375,0.017,1.0,0.0,0.0,1.0000000298023224,0.9999999478459358,0,0.2386120550212566,-0.0294693904621078,0.0321171609320979,0.0321171609320979,971142.9988641404,0.0005275421186972,0.5289837499246735,0.2693750687314142,0.0186888830837435,0.0186888812995098,971142.9979234532,0.423245500242806,0.4232455390916237,0.017,1.0,0.0,0.0,1.0000000074505806,1.0000000298023224,0,0.2253232966814859,-0.0288570011358595,0.0379298674883679,0.0379298638228137,970722.5238151265,0.0006721984100497298,0.6734258269091083,0.26955936737919367,0.01868867165132712,0.01868867165132712,970722.5238151265,0.5660916224273682,0.5660916224273682,0.017,1.0,0.0,0.0,1.0,1.0,0,0.22588178800825892,-0.02927747618487353,0.037969055714761904,0.037969055714761904
974952.1329061156,0.0045557794105316,4.824900205442845,0.2701361184116755,0.0191645270631401,0.0191645270631401,974952.1329016716,6.992394342105651,6.9923943333724505,0.017,1.0,0.0,0.0,1.0000000116415322,1.0000000116415322,0,0.2271088550017013,-0.0250478670938844,0.0346041779216672,0.0346041779216672,976065.1691192328,0.0050684299437356,5.05865571625746,0.2508797487778816,0.0176871897368569,0.0176871880262527,976065.1677004908,9.1126754315479,9.11267475695674,0.017,1.0,0.0,0.0,1.000000037252903,1.0000000596046448,0,0.2147418992655912,-0.0239348308807673,0.0312333148878275,0.031233311854598,975556.835568464,0.004980117010510612,4.970871616206741,0.2510337320698744,0.017708336597209936,0.017708336597209936,975556.8355706446,8.823264641381485,8.8232646483886,0.017,1.0,0.0,0.0,1.0000000596046448,1.0000000596046448,0,0.21525981786376455,-0.024443164431535935,0.031220637808982488,0.031220637808982488
983707.0976924238,0.0089798919257826,9.0490418888391,0.2587793401836038,0.013596546118962,0.0135965475117696,983707.0986210508,39.37238293346385,39.37238943758559,0.017,1.0,0.0,0.0,0.9999999590218068,0.9999999776482582,0,0.2212943040066189,-0.0162929023075761,0.0186159858130562,0.0186159877024242,983692.9527246492,0.0078148302457093,7.786471341474044,0.2396061016500748,0.0169544136165159,0.0169544136165159,983692.9512926212,22.644855108700764,22.64485509381824,0.017,1.0,0.0,0.0,1.0000000298023224,1.0000000298023224,0,0.2078215592293219,-0.0163070472753509,0.0270904396132683,0.0270904396132683,983563.981001954,0.008207769287807932,8.176326802368505,0.24060093528962942,0.016969159601774926,0.016969161468921138,983563.9818257731,25.3500934700299,25.350096811537927,0.017,1.0,0.0,0.0,0.999999925494194,0.9999999478459358,0,0.20880093190647653,-0.01643601899804603,0.02714434110851434,0.027144344164310028
981029.0318801332,-0.0027224219674461,-2.5275781624254106,0.2395991691907274,0.0149290432976257,0.0149290420436448,981029.0330375746,-2.1666830391576366,-2.166683095000403,0.017,1.0,0.0,0.0,1.0000000428408384,1.0000000782310965,0,0.2044608104572044,-0.0189709681198666,0.0334551975688569,0.0334551947330789,982238.6277692976,-0.0014784338459712,-1.477033301151419,0.2218740537660339,0.0170167030493506,0.0170167013979021,982238.6264372984,-1.2134827604426492,-1.2134828141596157,0.017,1.0,0.0,0.0,1.000000037252903,1.0000000596046448,0,0.1930435858072327,-0.0177613722307024,0.0366475047121513,0.0366475012000663,982081.7344291237,-0.0015070159150402072,-1.5056764907282967,0.22279375975900625,0.017030945145927016,0.017030945145927016,982081.7352517014,-1.2307791419181084,-1.2307791419180376,0.017,1.0,0.0,0.0,1.0000000298023224,1.0000000298023224,0,0.19394300850526613,-0.01791826557087628,0.036698179731933726,0.036698179731933726
988667.2991175728,0.0077859747155501,7.913875543976064,0.2303790387665843,0.0050957074397788,0.0050957074397788,988667.3002840256,74.711832519775,74.711832519775,0.017,1.0,0.0,0.0,1.000000046537025,1.000000046537025,0,0.1988536348772981,-0.0113327008824273,0.0020129893831566,0.0020129893831566,990899.2178170908,0.0088171955398065,8.780180206311734,0.2155060271397389,0.0044737695047593,0.0044737695047593,990899.2164733468,114.32410799300632,114.32410799301348,0.017,1.0,0.0,0.0,1.0000000521540642,1.0000000521540642,0,0.1882795926965889,-0.0091007821829093,0.0005949707410099,0.0005949707410099,990253.8330286402,0.008321200072280063,8.288494420115429,0.215671513566022,0.004480287550222825,0.004480287550222825,990253.8338580629,99.18586644067379,99.18586644067379,0.017,1.0,0.0,0.0,1.0000000298023224,1.0000000298023224,0,0.18879667733748456,-0.009746166971359771,0.0006352753692641846,0.0006352753692641846
984789.3067944192,-0.0039224442101146,-3.715134412702074,0.217642335090545,0.0068012554492753,0.0068012554492753,984789.307956297,-5.975430037741554,-5.975430037741554,0.017,1.0,0.0,0.0,0.9999999864958228,0.9999999864958228,0,0.1861551148536421,-0.0152106932055806,0.0178250140223382,0.0178250140223382,984164.895053995,-0.006796173255572,-6.817560272720383,0.2053024696449245,0.006577328805262,0.006577328805262,984164.8937193836,-8.018598778862945,-8.018598778862897,0.017,1.0,0.0,0.0,1.0000000596046448,1.0000000596046448,0,0.1762094909067559,-0.015835104946005,0.0201657074972969,0.0201657074972969,983587.07934046,-0.006732368475454738,-6.7532381473915475,0.20536019195096586,0.0065838272512170745,0.0065838272512170745,983587.0801642986,-7.982680460627782,-7.982680460627782,0.017,1.0,0.0,0.0,1.0,1.0,0,0.17666895429560558,-0.01641292065954003,0.02020241000288412,0.02020241000288412
